V4 Class,V4 Parent Class,V4 Attribute,V5 Class,V5 Parent Class ,V5 Attribute,Domain
Panel-Mounted Aux,P&ID Specific Part Graphic,*,No Mapping,,*,
Panel-Mounted Main,P&ID Specific Part Graphic,*,No Mapping,,*,
Part Limit Side Connection,Master-Slave Connection,*,No Mapping,,*,
Particle Size Change Function,Equipment Function Part,*,EquipParticleChgFunc_Sample,EquipFunc,*,EQT
Particle Size Change Function,Equipment Function Part,*,EquipParticleChgFunc_Sample,EquipFunc,*,EQT
Particle Size Change Function,Equipment Function Part,Capacity,EquipParticleChgFunc_Sample,EquipFunc,Capacity,EQT
Particle Size Change Function,Equipment Function Part,Commodity Type,No Mapping,,,
Particle Size Change Function,Equipment Function Part,Flow Rate,EquipParticleChgFunc_Sample,EquipFunc,FlowRate,EQT
Particle Size Change Function,Equipment Function Part,Flow Rate,EquipParticleChgFunc_Sample,EquipFunc,FlowRate,EQT
Particle Size Change Function,Equipment Function Part,Pressure,No Mapping,,,
Particle Size Change Function,Equipment Function Part,Process Description,No Mapping,,,
Particle Size Change Function,Equipment Function Part,Temperature,No Mapping,,,
Penetration Request,Functional Connection,*,No Mapping,,*,
Physical Connection,Generic Connectn Object,*,No Mapping,,*,
Physical Connector,Generic Connectr Object,*,No Mapping,,*,
Physical Connector Graphics,Generic Graphic  Object,*,No Mapping,,*,
Physical Graphic,Generic Graphic  Object,*,No Mapping,,*,
Physical Part,Generic Part     Object,*,No Mapping,,*,
Physical Plate,Plate,*,No Mapping,,*,
Physical Skin,Generic Skin     Object,*,No Mapping,,*,
Physical String,Generic String   Object,*,No Mapping,,*,
Pillar,Pillar Type,*,No Mapping,,*,
Pillar Doubling,Doubling Class,*,No Mapping,,,
Pillar Type,Hull Steelwork Profile Type,*,No Mapping,,,
Pipe,Pipe String,*,PipingBendablePipe,PipingPipe,*,PIP
Pipe,Pipe String,Generic Parts Attribute Group##1,No Mapping,,,
Pipe,Pipe String,Generic Parts Attribute Group##2,No Mapping,,,
Pipe,Pipe String,Generic Parts Attribute Group##3,No Mapping,,,
Pipe,Pipe String,Generic Parts Attribute Group##4,No Mapping,,,
Pipe,Pipe String,Generic Parts Attribute##1,No Mapping,,,
Pipe,Pipe String,Generic Parts Attribute##2,No Mapping,,,
Pipe,Pipe String,Generic Parts Attribute##3,No Mapping,,,
Pipe,Pipe String,Generic Parts Attribute##4,No Mapping,,,
Pipe,Pipe String,Pipe Route Method,No Mapping,,,
Pipe Segment,Generic Segment  Object,*,No Mapping,,*,
Pipe Segment,Generic Segment  Object,Rescale Factor,No Mapping,,,
Pipe Shape,Structural Member,*,No Mapping,,*,
Pipe String,Physical String,*,No Mapping,,*,
Pipe String,Physical String,Alternate Part Code,No Mapping,,,
Pipe String,Physical String,Associated part name,No Mapping,,,
Pipe String,Physical String,Catalog Name,No Mapping,,,
Pipe String,Physical String,Commodity Type,No Mapping,,,
Pipe String,Physical String,Dry Weight,No Mapping,,,
Pipe String,Physical String,Element Description,No Mapping,,,
Pipe String,Physical String,End Size Range,No Mapping,,,
Pipe String,Physical String,End Style##1,PipingBendablePipe,PipingPipe,EndStyle,PIP
Pipe String,Physical String,End Style##2,PipingBendablePipe,PipingPipe,EndStyle2,PIP
Pipe String,Physical String,End Style##3,PipingBendablePipe,PipingPipe,EndStyle3,PIP
Pipe String,Physical String,End Style##4,PipingBendablePipe,PipingPipe,EndStyle4,PIP
Pipe String,Physical String,Fabrication Category,No Mapping,,,
Pipe String,Physical String,Fabrication Class,No Mapping,,,
Pipe String,Physical String,Generate Type,No Mapping,,,
Pipe String,Physical String,Material Category,PipingBendablePipe,PipingPipe,MaterialCategory,PIP
Pipe String,Physical String,Material Code,PipingBendablePipe,PipingPipe,MaterialCode,PIP
Pipe String,Physical String,Out of spec attr,No Mapping,,,
Pipe String,Physical String,Part Code,PipingBendablePipe,PipingPipe,PartCode,PIP
Pipe String,Physical String,Part name,PipingBendablePipe,PipingPipe,PartName,PIP
Pipe String,Physical String,Pipe Nominal OD##1,PipingBendablePipe,PipingPipe,NominalSize,PIP
Pipe String,Physical String,Pipe Nominal OD##2,PipingBendablePipe,PipingPipe,NominalSize2,PIP
Pipe String,Physical String,Pipe Nominal OD##3,PipingBendablePipe,PipingPipe,NominalSize3,PIP
Pipe String,Physical String,Pipe Nominal OD##4,PipingBendablePipe,PipingPipe,NominalSize4,PIP
Pipe String,Physical String,Pipe OD##1,PipingBendablePipe,PipingPipe,PipeOD,PIP
Pipe String,Physical String,Pipe OD##2,PipingBendablePipe,PipingPipe,PipeOD2,PIP
Pipe String,Physical String,Pipe OD##3,PipingBendablePipe,PipingPipe,PipeOD3,PIP
Pipe String,Physical String,Pipe OD##4,PipingBendablePipe,PipingPipe,PipeOD4,PIP
Pipe String,Physical String,Pipe Spec,PipingBendablePipe,PipingPipe,PipeSpecification,PIP
Pipe String,Physical String,Pipe Spec Option,No Mapping,,,
Pipe String,Physical String,Pressure,No Mapping,,,
Pipe String,Physical String,Purchaser,No Mapping,,,
Pipe String,Physical String,Rescale Factor,No Mapping,,,
Pipe String,Physical String,Schedule##1,PipingBendablePipe,PipingPipe,Schedule,PIP
Pipe String,Physical String,Schedule##2,PipingBendablePipe,PipingPipe,Schedule2,PIP
Pipe String,Physical String,Schedule##3,PipingBendablePipe,PipingPipe,Schedule3,PIP
Pipe String,Physical String,Schedule##4,PipingBendablePipe,PipingPipe,Schedule4,PIP
Pipe String,Physical String,Specific Gravity,No Mapping,,,
Pipe String,Physical String,Standard,PipingBendablePipe,PipingPipe,Standard,PIP
Pipe String,Physical String,Start Size Range,No Mapping,,,
Pipe String,Physical String,Symbol Code,No Mapping,,,
Pipe String,Physical String,Symbol Name,No Mapping,,,
Pipe String,Physical String,Temperature,No Mapping,,,
Pipe String,Physical String,Time Stamp,No Mapping,,,
Pipe String,Physical String,User Attribute-1,No Mapping,,,
Pipe String,Physical String,User Attribute-2,No Mapping,,,
Pipe String,Physical String,User Attribute-3,No Mapping,,,
Pipe String,Physical String,User Attribute-4,No Mapping,,,
Pipe String,Physical String,User Attribute-5,No Mapping,,,
Pipe String,Physical String,User Attribute-6,No Mapping,,,
Pipe String,Physical String,Wall Thickness,No Mapping,,,
Pipe String,Physical String,Wet Weight,No Mapping,,,
Pipe String Connector,Fluidic Connector,*,No Mapping,,*,
Pipe String Connector,Fluidic Connector,Adjustment Length,No Mapping,,,
Pipe Support Connector,Mechanical Connector,*,No Mapping,,*,
Pipe Support Connector,Mechanical Connector,Description,No Mapping,,,
Pipe Support Connector,Mechanical Connector,Tag ID,No Mapping,,,
Pipe Support Connector,Mechanical Connector,Type,No Mapping,,,
Pipe Support Connector Graphic,Connector Graphic,*,No Mapping,,*,
Pipeline Connector,Fluidic Connector,*,No Mapping,,*,
Piping Datum,Datum Connector,*,No Mapping,,*,
Piping Function Part,Process Function Part,*,PipingPartFunc,Component_Function,*,PIP
Piping Function Part,Process Function Part,Heat Tracing,No Mapping,,,
Piping Function Part,Process Function Part,Instrument Functional Identifier,No Mapping,,,
Piping Function Part,Process Function Part,Instrument Service,No Mapping,,,
Piping Function Part,Process Function Part,Insulation Spec Name,No Mapping,,,
Piping Function Part,Process Function Part,Insulation Thickness,No Mapping,,,
Piping Function Part,Process Function Part,Matrix and Directions,No Mapping,,,
Piping Function Part,Process Function Part,Nominal OD,PipingPartFunc,Component_Function,NominalSize,PIP
Piping Function Part,Process Function Part,Pipe Spec,PipingPartFunc,Component_Function,PipeSpecification,PIP
Piping Insulation,Insulation,*,No Mapping,,*,
Piping Insulation,Insulation,Insulation Spec Name,No Mapping,,,
Piping Insulation,Insulation,Insulation Thickness,No Mapping,,,
Piping Line,Logical Line,*,PipingLine,Logical_Line,*,PIP
Piping Line,Logical Line,Commodity Type,PipingLine,Logical_Line,CommodityType,PIP
Piping Line,Logical Line,Heat Tracing,PipingLine,Logical_Line,HeatTracing,PIP
Piping Line,Logical Line,Insulation Spec Name,PipingLine,Logical_Line,InsulationSpecification,PIP
Piping Line,Logical Line,Insulation Thickness,PipingLine,Logical_Line,InsulationThickness,PIP
Piping Line,Logical Line,Line Category,PipingLine,Logical_Line,LineCategory,PIP
Piping Line,Logical Line,Line Function Names##1,No Mapping,,,
Piping Line,Logical Line,Line Function Names##2,No Mapping,,,
Piping Line,Logical Line,Line Function Names##3,No Mapping,,,
Piping Line,Logical Line,Line Function Names##4,No Mapping,,,
Piping Line,Logical Line,Line Functions Status##1,No Mapping,,,
Piping Line,Logical Line,Line Functions Status##2,No Mapping,,,
Piping Line,Logical Line,Line Functions Status##3,No Mapping,,,
Piping Line,Logical Line,Line Functions Status##4,No Mapping,,,
Piping Line,Logical Line,Line Service,PipingLine,Logical_Line,Service,PIP
Piping Line,Logical Line,Line Slope,No Mapping,,,
Piping Line,Logical Line,Nominal OD,PipingLine,Logical_Line,NominalSize,PIP
Piping Line,Logical Line,Pipe Spec,PipingLine,Logical_Line,PipeSpecification,PIP
Piping Line,Logical Line,Pressure,PipingLine,Logical_Line,OperatingPressure,PIP
Piping Line,Logical Line,Process ID,No Mapping,,,
Piping Line,Logical Line,Rescale factor,No Mapping,,,
Piping Line,Logical Line,System,No Mapping,None,,
Piping Line,Logical Line,Temperature,PipingLine,Logical_Line,OperatingTemperature,PIP
Piping Line,Logical Line,Unit Name,No Mapping,,,
Piping Line,Logical Line,Unit Number,No Mapping,,,
Piping Node,Generic Node     Object,*,No Mapping,,*,
Piping Part,Physical Part,*,PipingPart,Physical_Product,*,PIP
Piping Part,Physical Part,Alternate Part Code,PipingPart,Physical_Product,AlternatePartCode,PIP
Piping Part,Physical Part,Bolt adj length##1,,,,
Piping Part,Physical Part,Bolt adj length##2,,,,
Piping Part,Physical Part,Bolt adj length##3,,,,
Piping Part,Physical Part,Bolt adj length##4,,,,
Piping Part,Physical Part,Catalog Name,No Mapping,,,
Piping Part,Physical Part,Commodity Type,No Mapping,,,
Piping Part,Physical Part,Dry Weight##1,PipingPart,Physical_Product,WeightDry,PIP
Piping Part,Physical Part,Dry Weight##2,No Mapping,,,
Piping Part,Physical Part,Dry Weight##3,No Mapping,,,
Piping Part,Physical Part,Dry Weight##4,No Mapping,,,
Piping Part,Physical Part,Element Description##1,No Mapping,,,
Piping Part,Physical Part,Element Description##2,No Mapping,,,
Piping Part,Physical Part,Element Description##3,No Mapping,,,
Piping Part,Physical Part,Element Description##4,No Mapping,,,
Piping Part,Physical Part,End Size Range,No Mapping,None,,
Piping Part,Physical Part,End Style##1,PipingPart,Physical_Product,EndStyle,PIP
Piping Part,Physical Part,End Style##2,PipingPart,Physical_Product,EndStyle2,PIP
Piping Part,Physical Part,End Style##3,PipingPart,Physical_Product,EndStyle3,PIP
Piping Part,Physical Part,End Style##4,PipingPart,Physical_Product,EndStyle4,PIP
Piping Part,Physical Part,F2F Adjustment Length,No Mapping,None,,
Piping Part,Physical Part,Fabrication Category,No Mapping,None,,
Piping Part,Physical Part,Fabrication Class,No Mapping,None,,
Piping Part,Physical Part,Flow Rate,No Mapping,None,,
Piping Part,Physical Part,Function name,No Mapping,None,,
Piping Part,Physical Part,Generate Type,No Mapping,None,,
Piping Part,Physical Part,Generic Parts Attribute  ,No Mapping,None,,
Piping Part,Physical Part,Generic Parts Attribute Group,No Mapping,None,,
Piping Part,Physical Part,Generic Parts Attribute Group##1,No Mapping,None,,
Piping Part,Physical Part,Generic Parts Attribute Group##2,No Mapping,None,,
Piping Part,Physical Part,Generic Parts Attribute Group##3,No Mapping,None,,
Piping Part,Physical Part,Generic Parts Attribute Group##4,No Mapping,None,,
Piping Part,Physical Part,Generic Parts Attribute##1,No Mapping,None,,
Piping Part,Physical Part,Generic Parts Attribute##2,No Mapping,None,,
Piping Part,Physical Part,Generic Parts Attribute##3,No Mapping,None,,
Piping Part,Physical Part,Generic Parts Attribute##4,No Mapping,None,,
Piping Part,Physical Part,Heat Tracing,No Mapping,None,,
Piping Part,Physical Part,Material Category,PipingPart,Physical_Product,MaterialCategory,PIP
Piping Part,Physical Part,Material Code,PipingPart,Physical_Product,MaterialCode,PIP
Piping Part,Physical Part,Maximum run Size,No Mapping,None,,
Piping Part,Physical Part,Out of spec attr,No Mapping,None,,
Piping Part,Physical Part,Out of spec attr##1,No Mapping,None,,
Piping Part,Physical Part,Out of spec attr##2,No Mapping,None,,
Piping Part,Physical Part,Out of spec attr##3,No Mapping,None,,
Piping Part,Physical Part,Out of spec attr##4,No Mapping,None,,
Piping Part,Physical Part,Parameter Name,No Mapping,None,,
Piping Part,Physical Part,Parameter Value,No Mapping,None,,
Piping Part,Physical Part,Parameter Value##1,No Mapping,None,,
Piping Part,Physical Part,Parameter Value##1,No Mapping,None,,
Piping Part,Physical Part,Parameter Value##2,No Mapping,None,,
Piping Part,Physical Part,Parameter Value##2,No Mapping,None,,
Piping Part,Physical Part,Parameter Value##3,No Mapping,None,,
Piping Part,Physical Part,Parameter Value##3,No Mapping,None,,
Piping Part,Physical Part,Parameter Value##4,No Mapping,None,,
Piping Part,Physical Part,Parameter Value##4,No Mapping,None,,
Piping Part,Physical Part,Part Code,PipingPart,Physical_Product,PartCode,PIP
Piping Part,Physical Part,Part Dimension Table,No Mapping,None,,
Piping Part,Physical Part,Part name,PipingPart,Physical_Product,PartName,PIP
Piping Part,Physical Part,Part Number,No Mapping,None,,
Piping Part,Physical Part,Pipe Nominal OD##1,PipingPart,Physical_Product,NominalSize,PIP
Piping Part,Physical Part,Pipe Nominal OD##2,PipingPart,Physical_Product,NominalSize2,PIP
Piping Part,Physical Part,Pipe Nominal OD##3,PipingPart,Physical_Product,NominalSize3,PIP
Piping Part,Physical Part,Pipe Nominal OD##4,PipingPart,Physical_Product,NominalSize4,PIP
Piping Part,Physical Part,Pipe OD##1,PipingPart,Physical_Product,OutsideDiameter,PIP
Piping Part,Physical Part,Pipe OD##2,PipingPart,Physical_Product,OutsideDiameter2,PIP
Piping Part,Physical Part,Pipe OD##3,PipingPart,Physical_Product,OutsideDiameter3,PIP
Piping Part,Physical Part,Pipe OD##4,PipingPart,Physical_Product,OutsideDiameter4,PIP
Piping Part,Physical Part,Pipe Spec,PipingPart,Physical_Product,PipeSpecification,PIP
Piping Part,Physical Part,Pipe Spec Option,No Mapping,None,,
Piping Part,Physical Part,Pressure,No Mapping,None,,
Piping Part,Physical Part,Purchaser,No Mapping,None,,
Piping Part,Physical Part,Rating##1,PipingPart,Physical_Product,Rating,PIP
Piping Part,Physical Part,Rating##2,PipingPart,Physical_Product,Rating2,PIP
Piping Part,Physical Part,Rating##3,PipingPart,Physical_Product,Rating3,PIP
Piping Part,Physical Part,Rating##4,PipingPart,Physical_Product,Rating4,PIP
Piping Part,Physical Part,Rescale factor,No Mapping,None,,
Piping Part,Physical Part,Schedule##1,PipingPart,Physical_Product,Schedule,PIP
Piping Part,Physical Part,Schedule##2,PipingPart,Physical_Product,Schedule2,PIP
Piping Part,Physical Part,Schedule##3,PipingPart,Physical_Product,Schedule3,PIP
Piping Part,Physical Part,Schedule##4,PipingPart,Physical_Product,Schedule4,PIP
Piping Part,Physical Part,Standard,PipingPart,Physical_Product,Standard,PIP
Piping Part,Physical Part,Start Size Range,No Mapping,None,,
Piping Part,Physical Part,Symbol Code,No Mapping,None,,
Piping Part,Physical Part,Symbol Name,PipingPart,Physical_Product,SymbolName,PIP
Piping Part,Physical Part,Temperature,No Mapping,None,,
Piping Part,Physical Part,Time Stamp,No Mapping,None,,
Piping Part,Physical Part,User Attribute-1##1,No Mapping,None,,
Piping Part,Physical Part,User Attribute-1##2,No Mapping,None,,
Piping Part,Physical Part,User Attribute-1##3,No Mapping,None,,
Piping Part,Physical Part,User Attribute-1##4,No Mapping,None,,
Piping Part,Physical Part,User Attribute-2##1,No Mapping,None,,
Piping Part,Physical Part,User Attribute-2##2,No Mapping,None,,
Piping Part,Physical Part,User Attribute-2##3,No Mapping,None,,
Piping Part,Physical Part,User Attribute-2##4,No Mapping,None,,
Piping Part,Physical Part,User Attribute-3,No Mapping,None,,
Piping Part,Physical Part,User Attribute-4##1,No Mapping,None,,
Piping Part,Physical Part,User Attribute-4##2,No Mapping,None,,
Piping Part,Physical Part,User Attribute-4##3,No Mapping,None,,
Piping Part,Physical Part,User Attribute-4##4,No Mapping,None,,
Piping Part,Physical Part,User Attribute-5##1,No Mapping,None,,
Piping Part,Physical Part,User Attribute-5##2,No Mapping,None,,
Piping Part,Physical Part,User Attribute-5##3,No Mapping,None,,
Piping Part,Physical Part,User Attribute-5##4,No Mapping,None,,
Piping Part,Physical Part,User Attribute-6,No Mapping,None,,
Piping Part,Physical Part,Wall Thickness##1,PipingPart,Physical_Product,WallThickness,PIP
Piping Part,Physical Part,Wall Thickness##2,PipingPart,Physical_Product,WallThickness2,PIP
Piping Part,Physical Part,Wall Thickness##3,PipingPart,Physical_Product,WallThickness3,PIP
Piping Part,Physical Part,Wall Thickness##4,PipingPart,Physical_Product,WallThickness4,PIP
Piping Part,Physical Part,Wet Weight##1,PipingPart,Physical_Product,WeightWet,PIP
Piping Part,Physical Part,Wet Weight##2,No Mapping,None,,
Piping Part,Physical Part,Wet Weight##3,No Mapping,None,,
Piping Part,Physical Part,Wet Weight##4,No Mapping,None,,
Piping Part 2d Graphics,Generic Graphic  Object,*,No Mapping,,*,
Piping Part Connector,Fluidic Connector,*,No Mapping,,*,
Piping Penetration Request,Penetration Request,*,No Mapping,,*,
Piping Spec Change,Modification Element Handler,*,No Mapping,,*,
Piston Actuator,Valve Operator,*,PipingPistonActuator,PipingValveOperator,*,PIP
Pitch Up,Quick Rise,*,No Mapping,,*,
Placement Datum Connector,Datum Connector,*,No Mapping,,*,
Planar Plate,Hull Steelwork Plate Type,*,No Mapping,,*,
Plant Area,Sub-project,*,No Mapping,,*,
Plant Object,Equipment Component (Part),*,No Mapping,,*,
Plant Unit,Sub-project,*,No Mapping,,*,
Plate,Physical Skin,*,No Mapping,,*,
Plate Constraint Geometry,Constraint Graphic,*,No Mapping,,*,
Plate with predefined form,Plate,*,No Mapping,,*,
Plug,Caps,*,PipingPlug,PipingFitting,*,PIP
Plug Valve,Valve,*,PipingPlugValve,PipingValve,*,PIP
Port Hull,Hull Form Type,*,No Mapping,,*,
Positioner,Conveyor Part,*,No Mapping,,*,
Power Network,Conveyor Network,*,No Mapping,,*,
Power & Free Network,Conveyor Network,*,No Mapping,,*,
Press. Safety Valve,Valve,*,PipingSafetyValve,PipingValve,*,PIP
Pressure Relief Valve Function,Process Control Function Part,*,PipingReliefValveFunc_Sample,PipingValveFunc,*,PIP
Principal Reference Axis of Project,Generic Space    Object,*,No Mapping,,*,
Principal Reference Axis of Sub-project,Generic Space    Object,*,No Mapping,,*,
Process and Instrumentation Diagram Workset,Schematic Workset,*,No Mapping,,*,
Process Control Function Part,Process Function Part,*,PipingValveFunc,PipingPartFunc,*,PIP
Process Control Function Part,Process Function Part,Current Valve Position,PipingValveFunc,PipingPartFunc,CurrentValvePosition,PIP
Process Control Function Part,Process Function Part,Fail Valve Position,No Mapping,,,
Process Control Function Part,Process Function Part,Heat Tracing,No Mapping,,,
Process Control Function Part,Process Function Part,Instrument Functional Identifier,No Mapping,,,
Process Control Function Part,Process Function Part,Instrument Service,No Mapping,,,
Process Control Function Part,Process Function Part,Insulation Spec Name,No Mapping,,,
Process Control Function Part,Process Function Part,Insulation Thickness,No Mapping,,,
Process Control Function Part,Process Function Part,Nominal OD,PipingPartFunc,Component_Function,NominalSize,PIP
Process Control Function Part,Process Function Part,Normal Valve Position,PipingValveFunc,PipingPartFunc,NormalValvePosition,PIP
Process Control Function Part,Process Function Part,Pipe Spec,No Mapping,,,
Process Equipment Line,Line-String,*,PipingPipeFunc,String_Function,*,PIP
Process Equipment Line,Line-String,Commodity Type,No Mapping,,,
Process Equipment Line,Line-String,Heat Tracing,No Mapping,,,
Process Equipment Line,Line-String,Insulation Spec Name,No Mapping,,,
Process Equipment Line,Line-String,Insulation Thickness,No Mapping,,,
Process Equipment Line,Line-String,Line Category,PipingPipeFunc,String_Function,LineCategory,PIP
Process Equipment Line,Line-String,Nominal OD,PipingPipeFunc,String_Function,NominalSize,PIP
Process Equipment Line,Line-String,Pipe Spec,PipingPipeFunc,String_Function,PipeSpecification,PIP
Process Equipment Line,Line-String,Pressure,No Mapping,,,
Process Equipment Line,Line-String,Temperature,No Mapping,,,
Process Flow Diagram Workset,Schematic Workset,*,No Mapping,,*,
Process Function Part,Functional Part,*,No Mapping,,*,
Process Function Part,Functional Part,Functional Description,No Mapping,,,
Process Function Part,Functional Part,Functional Part Name,No Mapping,,,
Process Function Part,Functional Part,Special Notes,No Mapping,,,
Process Line,Line-String,*,PipingPipeFunc,String_Function,*,PIP
Process Line,Line-String,Commodity Type,No Mapping,,,
Process Line,Line-String,Insulation Spec Name,No Mapping,,,
Process Line,Line-String,Insulation Thickness,No Mapping,,,
Process Line,Line-String,Line Category,PipingPipeFunc,String_Function,LineCategory,PIP
Process Line,Line-String,Nominal OD,PipingPipeFunc,String_Function,NominalSize,PIP
Process Line,Line-String,Pipe Spec,PipingPipeFunc,String_Function,PipeSpecification,PIP
Process Line,Line-String,Pressure,No Mapping,,,
Process Line,Line-String,Temperature,No Mapping,,,
Process Nozzle,Nozzle,*,EquipProcess,EquipNozzle,*,EQT
Profile,Stiffener Profile type,*,No Mapping,,*,
Programmable Controller Function,Controller Function,*,No Mapping,,*,
Project,Generic Group    Object,*,No Mapping,,*,
Project or Sub-project Outline Graphic,Generic Graphic  Object,*,No Mapping,,*,
Project or Sub-project Reference Graphic,Generic Graphic  Object,*,No Mapping,,*,
Project Principal Reference Axis Graphic,Axis Graphic,*,No Mapping,,*,
Pump,Dynamic Equipment Component,*,EquipPump,Equipment,*,EQT
Pump Function,Equipment Function Part,*,EquipPumpFunc_Sample,EquipFunc,*,EQT
Pump Function,Equipment Function Part,Capacity,EquipPumpFunc_Sample,EquipFunc,Capacity,EQT
Pump Function,Equipment Function Part,Commodity Type,No Mapping,,,
Pump Function,Equipment Function Part,Flow Rate,EquipPumpFunc_Sample,EquipFunc,FlowRate,EQT
Pump Function,Equipment Function Part,Pressure,No Mapping,,,
Pump Function,Equipment Function Part,Process Description,No Mapping,,,
Pump Function,Equipment Function Part,Temperature,No Mapping,,,
Query follow group relationship Operator,Basic Query Operator,*,No Mapping,,*,
Query scan connected element to deck,Basic Query Operator,*,No Mapping,,*,
Quick Rise,Conveyor Part,*,No Mapping,,*,
Raceway Connection,Mechnical Connection,*,No Mapping,,*,
Raceway Line,Logical Line,*,No Mapping,,*,
RaceWay Penetration Request,Penetration Request,*,No Mapping,,*,
Raceway Solid Graphic,Generic Graphic  Object,*,No Mapping,,*,
Raceways Connector,Mechanical Connector,*,No Mapping,,*,
Raceways Disjoint Connection,Raceway Connection,*,No Mapping,,*,
Raceways Hole,Derivation Part,*,No Mapping,,*,
Raceways Incompatibility Connection,Raceway Connection,*,No Mapping,,*,
Raceways Parts,Physical Part,*,No Mapping,,*,
Raceways Side Attachment Connector,Mechanical Connector,*,No Mapping,,*,
Raceways Straight Piece,Physical String,*,No Mapping,,*,
Radial Compressor,Compressor,*,EquipRadialCompressor,EquipCompressor,*,EQT
Reciprocating Compressor,Compressor,*,EquipReciprCompressor,EquipCompressor,*,EQT
Reciprocating Pump,Pump,*,EquipReciprPump,EquipPump,*,EQT
Recorder Function,Instrument Function Part,*,No Mapping,,*,
Rectangular Duct,Duct,*,HVACRectStDuct,HVACRectDuct,*,HVA
Rectangular Duct,Duct,Height##1,HVACRectStDuct,HVACRectDuct,Height,HVA
Rectangular Duct,Duct,Width##1,HVACRectStDuct,HVACRectDuct,Width,HVA
Rectangular Duct,Duct,Width##2,No Mapping,,*,
Rectangular Duct,Duct,Height##2,No Mapping,,*,
Rectangular Duct,Duct,Width##3,No Mapping,,*,
Rectangular Duct,Duct,Height##3,No Mapping,,*,
Rectangular Duct,Duct,Width##4,No Mapping,,*,
Rectangular Duct,Duct,Height##4,No Mapping,,*,
Rectangular Duct,Duct,Override Aspect Ratio (W:H) for Rectangular Duct,No Mapping,,*,
Rectangular Hole,Cutout,*,No Mapping,,*,
Rectangular Plate Form,Plate with predefined form,*,No Mapping,,*,
Rectangular Shape,Structural Member,*,No Mapping,,*,
Reducer Function,Piping Function Part,*,PipingReducerFunc,PipingPartFunc,*,PIP
Reducer Function,Piping Function Part,Nominal OD - Secondary,No Mapping,,,
Reducing Coupling,Reducing Joint,*,PipingReduceCoupling,PipingFitting,*,PIP
Reducing Cross,Branches,*,PipingReducingCross,PipingBranch,*,PIP
Reducing Cross,Branches,Branch to Branch##1,No Mapping,,,
Reducing Cross,Branches,Branch to Branch##2,No Mapping,,,
Reducing Cross,Branches,Branch to Branch##3,No Mapping,,,
Reducing Cross,Branches,Branch to Branch##4,No Mapping,,,
Reducing Cross,Branches,End Diameter##1,No Mapping,,,
Reducing Cross,Branches,End Diameter##2,No Mapping,,,
Reducing Cross,Branches,End Diameter##3,No Mapping,,,
Reducing Cross,Branches,End Diameter##4,No Mapping,,,
Reducing Cross,Branches,End Offset##1,No Mapping,,,
Reducing Cross,Branches,End Offset##2,No Mapping,,,
Reducing Cross,Branches,End Offset##3,No Mapping,,,
Reducing Cross,Branches,End Offset##4,No Mapping,,,
Reducing Cross,Branches,End Thickness##1,No Mapping,,,
Reducing Cross,Branches,End Thickness##2,No Mapping,,,
Reducing Cross,Branches,End Thickness##3,No Mapping,,,
Reducing Cross,Branches,End Thickness##4,No Mapping,,,
Reducing Cross,Branches,Face to Face##1,No Mapping,,,
Reducing Cross,Branches,Face to Face##2,No Mapping,,,
Reducing Cross,Branches,Face to Face##3,No Mapping,,,
Reducing Cross,Branches,Face to Face##4,No Mapping,,,
Reducing Cross,Branches,Nominal Size##1,PipingPart,Physical_Product,NominalSize,PIP
Reducing Cross,Branches,Nominal Size##2,PipingPart,Physical_Product,NominalSize2,PIP
Reducing Cross,Branches,Nominal Size##3,PipingPart,Physical_Product,NominalSize3,PIP
Reducing Cross,Branches,Nominal Size##4,PipingPart,Physical_Product,NominalSize4,PIP
Reducing Cross,Branches,OD1##1,PipingPart,Physical_Product,OutsideDiameter,PIP
Reducing Cross,Branches,OD1##2,PipingPart,Physical_Product,OutsideDiameter2,PIP
Reducing Cross,Branches,OD1##3,PipingPart,Physical_Product,OutsideDiameter3,PIP
Reducing Cross,Branches,OD1##4,PipingPart,Physical_Product,OutsideDiameter4,PIP
Reducing Cross,Branches,OD2##1,No Mapping,,,
Reducing Cross,Branches,OD2##2,No Mapping,,,
Reducing Cross,Branches,OD2##3,No Mapping,,,
Reducing Cross,Branches,OD2##4,No Mapping,,,
Reducing Flange,Flanges,*,PipingReducingFlange,PipingFlange,*,PIP
Reducing Joint,Fittings,*,No Mapping,,*,
Reducing Lateral,Branches,*,PipingReducingLateral,PipingBranch,*,PIP
Reducing Tee,Branches,*,PipingReducingTee,PipingBranch,*,PIP
Reducing Tee,Branches,Center to Branch##1,No Mapping,,,
Reducing Tee,Branches,Center to Branch##2,No Mapping,,,
Reducing Tee,Branches,Center to Branch##3,No Mapping,,,
Reducing Tee,Branches,Center to Branch##4,No Mapping,,,
Reducing Tee,Branches,Center to Face##1,No Mapping,,,
Reducing Tee,Branches,Center to Face##2,No Mapping,,,
Reducing Tee,Branches,Center to Face##3,No Mapping,,,
Reducing Tee,Branches,Center to Face##4,No Mapping,,,
Reducing Tee,Branches,End Diameter##1,No Mapping,,,
Reducing Tee,Branches,End Diameter##2,No Mapping,,,
Reducing Tee,Branches,End Diameter##3,No Mapping,,,
Reducing Tee,Branches,End Diameter##4,No Mapping,,,
Reducing Tee,Branches,End Offset##1,No Mapping,,,
Reducing Tee,Branches,End Offset##2,No Mapping,,,
Reducing Tee,Branches,End Offset##3,No Mapping,,,
